"монитор";"un écran"
"принтер";"une imprimante"
"колонки";"un haut-parleur"
"наушники";"un casque"
"сенсорный экран";"un écran tactile"
"проектор";"un projecteur"
"3D-принтер";"une imprimante 3D"
"трекер";"un traceur"
"клавиатура";"un clavier"
"мышь";"une souris"
"тачпад";"un pavé tactile"
"сканер";"un scanneur"
"микрофон";"un microphone"
"камера";"une caméra"
"графический планшет";"une tablette graphique"
"баркод-сканер";"un lecteur de code-barres"
"считыватель карт";"un lecteur de cartes de crédit"
"интерфейс";"un interface"
"аудио";"un son"
"видео";"un vidéo"
"данные";"les données"
"изображение";"un image"
"текст";"un texte"
"звук";"un son"
"движение";"un mouvement"
"физический";"matériel"
"цифровой";"numérique"
"веб-камера";"une caméra web"
"жидкокристаллический дисплей";"un écran à cristaux liquides"
"органический светодиодный дисплей";"un écran à diodes électroluminescentes organiques"
"тонкопленочный транзисторный дисплей";"un écran à transistors à film mince"
"переключение в плоскости";"un écran à commutation en plan"
"скрученная нематическая технология";"un écran à nématiques torsadés"
"светодиодный дисплей";"un écran à diodes électroluminescentes"
"катодно-лучевая трубка";"un tube cathodique"
"игровой монитор";"un moniteur de jeu"
"ультраширокий экран";"un écran ultrawide"
"профессиональный монитор";"un moniteur professionnel"
"4K-разрешение";"un écran 4K"
