Символ,Код
", ",000000
о ,000001
 в,000010
 п,000011
и ,000100
 с,000101
а ,000110
 и,000111
 н,0010000
е ,0010001
 о,001001
то,0010100
ал,0010101
на,001011
ст,0011000
но,0011001
 к,001101
не,0011100
по,0011101
го,001111
ко,01000000
 т,01000001
ла,0100001
ов,0100010
ра,0100011
ва,0100100
ка,0100101
ро,0100110
та,0100111
он,01010000
ь ,01010001
я ,0101001
ло,0101010
в ,0101011
 б,01011000
ли,01011001
ни,0101101
во,0101110
 д,0101111
– ,01100000
те,01100001
пр,0110001
л ,01100100
ом,01100101
ри,0110011
 ч,01101000
ер,01101001
ть,0110101
ор,01101100
ет,01101101
ол,0110111
ос,01110000
. ,01110001
ел,0111001
м ,01110100
от,01110101
ил,0111011
ен,01111000
од,01111001
"

",0111101
й ,01111100
де,01111101
 у,0111111
ем,10000000
 г,10000001
 е,10000010
ак,10000011
да,10000100
 м,10000101
ре,10000110
ве,10000111
ат,10001000
ог,10001001
ит,10001010
у ,10001011
се,10001100
 –,10001101
за,10001110
ны,10001111
че,100100000
к ,100100001
ан,10010001
до,10010010
же,10010011
н ,10010100
ас,10010101
т ,10010110
ск,10010111
ин,100110000
бы,100110001
 з,10011001
ле,10011010
тр,10011011
ив,10011100
сь,10011101
вс,10011110
аз,10011111
ой,101000000
ль,101000001
ти,10100001
мо,101000100
".
",101000101
 р,10100011
ес,101001000
ар,101001001
ма,10100101
 л,10100110
ся,10100111
об,101010000
ы ,101010001
"е,",10101001
чт,101010100
ви,101010101
 ж,10101011
ам,101011000
ад,101011001
"а,",10101101
ег,10101110
"о,",10101111
"и,",101100000
пе,101100001
ча,101100010
"ь,",101100011
с ,101100100
хо,101100101
ав,10110011
ми,101101000
вы,101101001
ей,101101010
ки,101101011
им,101101100
ед,101101101
ис,10110111
ме,101110000
ев,101110001
дн,101110010
ек,101110011
лу,101110100
му,101110101
ыл,10111011
ая,101111000
оч,101111001
це,101111010
ое,101111011
сл,101111100
мн,101111101
ду,10111111
вн,1100000000
"
–",1100000001
си,110000001
жи,110000010
жа,110000011
ик,110000100
 я,110000101
ие,110000110
са,110000111
тв,1100010000
 э,1100010001
ид,110001001
бо,110001010
уж,110001011
ку,110001100
ум,110001101
"я,",110001110
из,110001111
ну,1100100000
эт,1100100001
ож,110010001
чи,110010010
ди,110010011
гд,1100101000
ез,1100101001
ок,110010101
бе,110010110
ю ,110010111
х ,1100110000
аж,1100110001
ше,110011001
нн,110011010
со,110011011
ый,1100111000
св,1100111001
"м,",110011101
зн,110011110
нь,110011111
 х,1101000000
 а,1101000001
"у,",110100001
ее,1101000100
па,1101000101
ту,110100011
пи,1101001000
еч,1101001001
зд,110100101
сп,1101001100
ты,1101001101
ру,110100111
"й,",1101010000
рц,1101010001
ич,110101001
лю,1101010100
уд,1101010101
тн,110101011
кр,1101011000
ля,1101011001
ош,110101101
ят,1101011100
ще,1101011101
ае,110101111
ьн,1101100000
ут,1101100001
лс,1101100010
би,1101100011
ры,1101100100
ые,1101100101
ым,110110011
ял,1101101000
гр,1101101001
ня,1101101010
кл,1101101011
гл,1101101100
ах,1101101101
? ,110110111
бл,1101110000
ио,1101110001
ву,1101110010
; ,1101110011
з ,1101110100
ур,1101110101
е.,1101110110
ус,1101110111
ша,1101111000
уш,1101111001
оп,1101111010
ыв,1101111011
ую,1101111100
ул,1101111101
иг,1101111110
жд,1101111111
юб,11100000000
"т,",11100000001
ап,1110000001
"ы,",1110000010
жн,1110000011
ых,11100001000
ьс,11100001001
ьк,1110000101
ши,1110000110
бр,1110000111
"в,",11100010000
а.,11100010001
уч,1110001001
тс,1110001010
ия,1110001011
еш,11100011000
ий,11100011001
-т,1110001101
ха,1110001110
оз,1110001111
см,11100100000
 ш,11100100001
бу,1110010001
рн,11100100100
лы,11100100101
нт,1110010011
сн,11100101000
их,11100101001
ои,1110010101
м.,11100101100
вр,11100101101
дя,1110010111
и.,11100110000
"л,",11100110001
пл,1110011001
уб,11100110100
ук,11100110101
яс,1110011011
рк,11100111000
"ю,",11100111001
шл,1110011101
еб,1110011110
уг,1110011111
еж,11101000000
еп,11101000001
ех,11101000010
! ,11101000011
иц,11101000100
кт,11101000101
аш,1110100011
о.,11101001000
мя,11101001001
ыт,1110100101
га,11101001100
ир,11101001101
аг,1110100111
ща,11101010000
ох,11101010001
тя,11101010010
оя,11101010011
дь,11101010100
чу,11101010101
др,1110101011
ай,11101011000
ке,11101011001
"к,",1110101101
рь,11101011100
фо,11101011101
я.,1110101111
о-,11101100000
ув,11101100001
лн,11101100010
чн,11101100011
ещ,11101100100
ач,11101100101
":
",11101100110
у.,11101100111
: ,11101101000
ь.,11101101001
ба,11101101010
ью,11101101011
ье,11101101100
иф,11101101101
зв,1110110111
вл,11101110000
йт,11101110001
д ,11101110010
мы,11101110011
"х,",11101110100
аю,11101110101
шн,11101110110
ыр,11101110111
ух,11101111000
дв,11101111001
ыч,11101111010
г ,11101111011
"
п",11101111100
мс,11101111101
зы,1110111111
"н,",111100000000
й.,111100000001
"…
",11110000001
лж,11110000010
… ,11110000011
 «,111100001000
пу,111100001001
сы,11110000101
шк,11110000110
ьш,11110000111
уп,111100010000
су,111100010001
рт,11110001001
ги,11110001010
вз,11110001011
ищ,11110001100
тк,11110001101
нс,11110001110
ды,11110001111
иб,111100100000
шу,111100100001
"
и",11110010001
бя,111100100100
дл,111100100101
яд,11110010011
зи,111100101000
зо,111100101001
"ч,",11110010101
чь,11110010110
дс,11110010111
ря,111100110000
"!
",111100110001
"
«",11110011001
"
о",11110011010
дб,11110011011
гу,111100111000
с.,111100111001
вд,11110011101
ют,11110011110
иж,11110011111
иш,111101000000
сс,111101000001
рв,111101000010
ян,111101000011
зж,111101000100
"р,",111101000101
ю.,11110100011
ья,111101001000
ям,111101001001
ию,11110100101
зе,111101001100
рс,111101001101
ео,11110100111
ца,111101010000
ыш,111101010001
ыс,111101010010
ык,111101010011
ии,111101010100
зг,111101010101
шо,11110101011
аи,111101011000
 ц,111101011001
т.,111101011010
дм,111101011011
кс,111101011100
"?
",111101011101
ч ,11110101111
пя,111101100000
нч,111101100001
щи,111101100010
ун,111101100011
"»,",111101100100
зу,111101100101
уе,111101100110
лк,111101100111
мь,111101101000
ощ,111101101001
рд,111101101010
уй,111101101011
бщ,111101101100
ып,111101101101
ащ,11110110111
о…,111101110000
лч,111101110001
 ф,111101110010
сч,111101110011
ьм,111101110100
зм,111101110101
о?,111101110110
йм,111101110111
пы,111101111000
оо,111101111001
ою,111101111010
"д,",111101111011
зя,111101111100
-н,111101111101
хл,111101111110
хн,111101111111
як,1111100000000
жк,1111100000001
л:,111110000001
"
в",111110000010
йс,111110000011
чк,1111100001000
"
с",1111100001001
дц,111110000101
-п,111110000110
кн,111110000111
йн,1111100010000
фи,1111100010001
бн,111110001001
"с,",111110001010
в.,111110001011
нр,111110001100
ьт,111110001101
е?,111110001110
ея,111110001111
аб,1111100100000
"
н",1111100100001
к.,111110010001
».,1111100100100
тл,1111100100101
ху,111110010011
вь,1111100101000
н.,1111100101001
вя,111110010101
лл,111110010110
сх,111110010111
юд,1111100110000
йд,1111100110001
рм,111110011001
жу,111110011010
ющ,111110011011
е;,1111100111000
р ,1111100111001
шь,111110011101
мл,111110011110
ыб,111110011111
о!,1111101000000
юс,1111101000001
лг,111110100001
яю,1111101000100
л.,1111101000101
зл,111110100011
вк,1111101001000
к-,1111101001001
а…,111110100101
ею,1111101001100
…»,1111101001101
» ,111110100111
яг,1111101010000
а-,1111101010001
яж,1111101010010
уз,1111101010011
и!,1111101010100
рх,1111101010101
м:,111110101011
цу,1111101011000
«н,1111101011001
дк,111110101101
ь:,1111101011100
"
у",1111101011101
"»
",111110101111
т?,1111101100000
зк,1111101100001
бв,1111101100010
ын,1111101100011
"
к",1111101100100
еа,1111101100101
ец,111110110011
рю,1111101101000
ге,1111101101001
ьз,1111101101010
й-,1111101101011
бх,1111101101100
у;,1111101101101
мт,1111101101110
а?,1111101101111
х.,1111101110000
ящ,1111101110001
вш,1111101110010
нц,1111101110011
дш,1111101110100
"
а",1111101110101
ыг,1111101110110
еи,1111101110111
м;,1111101111000
ущ,1111101111001
мр,1111101111010
рж,1111101111011
ы.,1111101111100
е…,1111101111101
ип,111110111111
ц ,11111100000000
е!,11111100000001
?»,1111110000001
д.,1111110000010
ыд,1111110000011
кв,1111110000100
«а,1111110000101
м-,1111110000110
а!,1111110000111
а:,11111100010000
цо,11111100010001
"i
",1111110001001
"б,",1111110001010
ьи,1111110001011
кд,11111100011000
е-,11111100011001
 (,1111110001101
тд,1111110001110
ж ,1111110001111
цы,11111100100000
оц,11111100100001
 d,1111110010001
ню,11111100100100
юю,11111100100101
я;,1111110010011
фе,11111100101000
ч.,11111100101001
о:,1111110010101
х?,1111110010110
яч,1111110010111
ь?,11111100110000
ср,11111100110001
у-,1111110011001
рг,1111110011010
чш,1111110011011
и?,11111100111000
рч,11111100111001
яз,1111110011101
оу,1111110011110
зб,1111110011111
о»,11111101000000
сю,11111101000001
"
i",1111110100001
ii,11111101000100
вт,11111101000101
р.,1111110100011
дт,11111101001000
хи,11111101001001
б ,1111110100101
оф,1111110100110
ы?,1111110100111
тт,11111101010000
еу,11111101010001
пь,1111110101001
лт,1111110101010
о;,1111110101011
щу,11111101011000
«к,11111101011001
й!,1111110101101
ъе,1111110101110
вп,1111110101111
рп,11111101100000
иа,11111101100001
т:,1111110110001
бс,11111101100100
ne,11111101100101
и;,11111101100110
чо,11111101100111
тп,11111101101000
-ч,11111101101001
я…,11111101101010
ьц,11111101101011
б.,11111101101100
s ,11111101101101
e ,11111101101110
on,11111101101111
нк,11111101110000
пч,11111101110001
л…,11111101110010
гк,11111101110011
гн,11111101110100
й;,11111101110101
аф,11111101110110
тч,11111101110111
е:,11111101111000
ь…,11111101111001
"ж,",11111101111010
щн,11111101111011
т!,11111101111100
у!,11111101111101
у:,1111110111111
ьч,11111110000000
 щ,11111110000001
-к,11111110000010
вв,11111110000011
я!,11111110000100
«з,11111110000101
"
т",11111110000110
й…,11111110000111
йш,11111110001000
гч,11111110001001
и…,11111110001010
кз,11111110001011
к;,11111110001100
"з,",11111110001101
бъ,11111110001110
ъя,11111110001111
у?,11111110010000
лв,11111110010001
вм,11111110010010
рл,11111110010011
нщ,11111110010100
ь-,11111110010101
м…,11111110010110
«о,11111110010111
ь!,11111110011000
!»,11111110011001
ж?,11111110011010
хр,11111110011011
фр,11111110011100
я?,11111110011101
ч»,11111110011110
хв,11111110011111
"v
",11111110100000
йк,11111110100001
ау,11111110100010
«п,11111110100011
"
з",11111110100100
.»,11111110100101
к?,11111110100110
я»,11111110100111
