Символ,Код
п,00000
у,00001
з,000100
ш,0001010
–,0001011
д,00011
т,0010
м,00110
ц,00111000
-,001110010
(,0011100110000
),0011100110001
d,0011100110010
o,0011100110011
n,001110011010
u,0011100110110
1,00111001101110
7,001110011011110
[,001110011011111
«,0011100111
х,0011101
б,001111
н,0100
",",01010
ч,010110
г,010111
и,0110
к,01110
я,011110
ы,011111
ь,100000
»,1000010000
ф,1000010001
э,100001001
;,1000010100
],100001010100000
c,100001010100001
h,100001010100010
l,100001010100011
p,100001010100100
q,100001010100101
s,10000101010011
t,10000101010100
v,10000101010101
z,100001010101100
ё,100001010101101
’,100001010101110
№,100001010101111
i,100001010110
e,1000010101110
ъ,1000010101111
…,1000010110
!,1000010111
.,1000011
р,10001
е,1001
а,1010
й,1011000
ю,10110010
щ,101100110
:,1011001110
?,1011001111
ж,1011010
"
",1011011
в,10111
 ,110
с,11100
л,11101
о,1111
