Символ,Частота,Вероятность
i,9.0,0.00026695141484249865
"
",326.0,0.009669573470961618
к,921.0,0.027318028118882363
о,2999.0,0.08895414367918372
г,475.0,0.014089102450020763
д,807.0,0.02393664353087738
а,2302.0,0.068280239663048
 ,5404.0,0.16028949397876252
в,1275.0,0.03781811710268731
у,742.0,0.022008661090348224
б,413.0,0.012250103814439105
е,2250.0,0.06673785371062467
р,1087.0,0.03224179865931067
н,1669.0,0.04950465681912559
с,1315.0,0.039004567835320636
м,818.0,0.024262917482351546
.,280.0,0.008305155128433292
п,710.0,0.02105950050424156
и,1843.0,0.05466571750608056
з,381.0,0.011300943228332444
ж,322.0,0.009550928397698286
л,1376.0,0.040813905202586466
ь,511.0,0.015156908109390757
",",857.0,0.02541970694666904
т,1587.0,0.04707243281722726
ы,492.0,0.014593344011389927
я,478.0,0.014178086254968263
ч,441.0,0.013080619327282435
х,209.0,0.006199205078009136
ш,192.0,0.005694963516639971
ю,148.0,0.004389867710743311
ц,96.0,0.0028474817583199856
э,59.0,0.0017500148306341578
й,283.0,0.008394138933380792
ф,31.0,0.0009194993177908288
щ,75.0,0.002224595123687489
p,1.0,2.9661268315833184e-05
n,6.0,0.0001779676098949991
c,1.0,2.9661268315833184e-05
e,5.0,0.00014830634157916593
-,48.0,0.0014237408791599928
z,1.0,2.9661268315833184e-05
;,32.0,0.0009491605861066619
–,192.0,0.005694963516639971
(,3.0,8.898380494749955e-05
),3.0,8.898380494749955e-05
:,36.0,0.0010678056593699946
…,35.0,0.0010381443910541615
?,47.0,0.0013940796108441597
d,3.0,8.898380494749955e-05
t,2.0,5.932253663166637e-05
s,2.0,5.932253663166637e-05
q,1.0,2.9661268315833184e-05
u,3.0,8.898380494749955e-05
l,1.0,2.9661268315833184e-05
’,1.0,2.9661268315833184e-05
o,3.0,8.898380494749955e-05
h,1.0,2.9661268315833184e-05
[,1.0,2.9661268315833184e-05
1,2.0,5.932253663166637e-05
],1.0,2.9661268315833184e-05
«,27.0,0.000800854244527496
»,27.0,0.000800854244527496
ё,1.0,2.9661268315833184e-05
!,36.0,0.0010678056593699946
ъ,5.0,0.00014830634157916593
v,2.0,5.932253663166637e-05
№,1.0,2.9661268315833184e-05
7,1.0,2.9661268315833184e-05
