Символ,Код
 ,000
о,0010
а,0011
е,0100
и,0101
н,0110
т,0111
л,10000
с,10001
в,10010
р,10011
к,10100
",",10101
м,10110
д,10111
у,110000
п,110001
ь,11001
ы,110100
я,110101
г,110110
ч,110111
б,1110000
з,1110001
"
",111001
ж,111010
й,111011
.,1111000
х,1111001
ш,1111010
–,1111011
ю,11111000
ц,11111001
щ,111110100
э,111110101
-,11111011
?,1111110000
:,1111110001
!,111111001
…,111111010
;,111111011
ф,1111111000
«,1111111001
»,111111101
i,111111110000
n,111111110001
e,11111111001
ъ,111111110100
(,111111110101
),11111111011
d,1111111110000
u,1111111110001
o,111111111001
t,1111111110100
s,1111111110101
1,111111111011
v,1111111111000
p,11111111110010
c,11111111110011
z,11111111110100
q,11111111110101
l,1111111111011
’,11111111111000
h,11111111111001
[,11111111111010
],11111111111011
ё,11111111111100
№,11111111111101
7,1111111111111
